Year,Make,Model,NewUsed,features,ExteriorColor,InteriorColor,Trim,Transmission,VIN,SellingPrice,Miles,VehicleDescription,Certified,EPACity,EPAHighway,ImageList,car_details_link
2023,Chevrolet,Silverado 1500,USED,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Black,Jet Black,"2WD Crew Cab 147"" LT",Automatic,3GCPACEK6PG255863,39679,12029,"CARFAX One-Owner. Clean CARFAX. Black 2023 Chevrolet Silverado 1500 LT RWD 8-Speed Automatic 2.7L Turbo 8-Speed Automatic, Black Cloth.If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,19,22,https://content.homenetiol.com/2000466/2078700/640x480/8cb6a970fc0d447aa362ca15ce2a819a.jpg,https://www.goschchevy.com/inventory/3GCPACEK6PG255863/
2023,Chevrolet,Silverado 1500,USED,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Radiant Red Tintcoat,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACED6PZ171494,45555,16121,"CARFAX One-Owner. Clean CARFAX. Radiant Red Tintcoat 2023 Chevrolet Silverado 1500 LT RWD 10-Speed Automatic EcoTec3 5.3L V8 10-Way Power Driver Seat w/Lumbar, 12.3 Multicolor Reconfigurable Digital Display, 120-Volt Bed Mounted Power Outlet, 120-Volt Instrument Panel Power Outlet, All-Star Edition, Auto-Locking Rear Differential, BluetoothÂ® For Phone, Chevrolet Connected Access Capable, Chrome Mirror Caps, Color-Keyed Carpeting Floor Covering, Compass, Convenience Package, Deep-Tinted Glass, Dual Rear USB Ports (Charge Only), Dual-Zone Automatic Climate Control, Electric Rear-Window Defogger, Electrical Steering Column Lock, Electronic Cruise Control, EZ Lift Power Lock & Release Tailgate, Front Rubberized Vinyl Floor Mats, HD Rear Vision Camera, Heated Driver & Front Outboard Passenger Seats, Heated Power-Adjustable Outside Mirrors, Heated Steering Wheel, Hitch Guidance, Inside Rear-View Mirror w/Tilt, Keyless Open & Start, LED Cargo Area Lighting, OnStar & Chevrolet Connected Services Capable, Power Front Windows w/Driver Express Up/Down, Power Front Windows w/Passenger Express Down, Power Rear Windows w/Express Down, Preferred Equipment Group 1LT, Rear 60/40 Folding Bench Seat (Folds Up), Rear Rubberized-Vinyl Floor Mats, Remote Start Package, Remote Vehicle Starter System, SiriusXM w/360L, Standard Suspension Package, Standard Tailgate, Steering Wheel Audio Controls, Theft Deterrent System (Unauthorized Entry), Trailering Package, Wheels: 17 x 8 Bright Silver Painted Aluminum, Wi-Fi Hot Spot Capable, Wireless Phone Projection, Wrapped Steering Wheel.Recent Arrival!If you have any questions or would like some general information about financing or would like a price quote on a new or used vehicle please call.",FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/531c0c86194d49aaa052dc0ec70660ee.jpg,https://www.goschchevy.com/inventory/1GCPACED6PZ171494/
2023,Chevrolet,Blazer,NEW,"Blazer boasts powerful engines, agile handling, spacious comfort, tech-savvy features, and safety options, making it a versatile SUV for adventure seekers.",Sterling Gray Metallic,Jet Black,FWD 4dr Premier,Automatic,3GNKBFR44PS218996,43462,36,,FALSE,22,29,https://content.homenetiol.com/2000466/2078700/640x480/f8d4d2b5c6fd44699010a7a1c65f5b4b.jpg,https://www.goschchevy.com/inventory/3GNKBFR44PS218996/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Double Cab 147"" Custom",Automatic,1GCRABEK3RZ117087,42240,9,,FALSE,19,22,https://content.homenetiol.com/2000466/2078700/640x480/e8c4a1440f9b46da80cf2316379bb8aa.jpg,https://www.goschchevy.com/inventory/1GCRABEK3RZ117087/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACEDXRZ120972,55140,5,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/98491bd0e49e4c47acc625a996d851fd.jpg,https://www.goschchevy.com/inventory/1GCPACEDXRZ120972/
2024,Chevrolet,Malibu,NEW,"a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",Mineral Gray Metallic,Jet Black,4dr Sdn 1LT,Automatic,1G1ZD5ST0RF108041,29195,2,,FALSE,27,35,https://content.homenetiol.com/2000466/2078700/640x480/f79e8b20b6c24ccfbbd92eaadb401c71.jpg,https://www.goschchevy.com/inventory/1G1ZD5ST0RF108041/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACED4RZ120885,55140,3,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/724f9e6601a046c5873f70ab74c4e955.jpg,https://www.goschchevy.com/inventory/1GCPACED4RZ120885/
2024,Chevrolet,Malibu,NEW,"a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",Mineral Gray Metallic,Jet Black,4dr Sdn 1LT,Automatic,1G1ZD5STXRF108063,29195,2,,FALSE,27,35,https://content.homenetiol.com/2000466/2078700/640x480/8806021698bd46e493cb51b85b33d107.jpg,https://www.goschchevy.com/inventory/1G1ZD5STXRF108063/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACEDXRZ127484,55240,5,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/2b6cf2c235a74550b4e914c942a59466.jpg,https://www.goschchevy.com/inventory/1GCPACEDXRZ127484/
2024,Chevrolet,Malibu,NEW,"a choice between efficient hybrid and potent gasoline engines, spacious comfort features, and advanced technology, making it a stylish sedan for everyday journeys.",Mineral Gray Metallic,Jet Black,4dr Sdn 1LT,Automatic,1G1ZD5ST2RF118506,29195,2,,FALSE,27,35,https://content.homenetiol.com/2000466/2078700/640x480/672bc5b9e1494e4892c678ef8a2d7271.jpg,https://www.goschchevy.com/inventory/1G1ZD5ST2RF118506/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 147"" LT",Automatic,1GCPACED5RZ127537,55240,7,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/3f670202490b477688d86c9b07c06dec.jpg,https://www.goschchevy.com/inventory/1GCPACED5RZ127537/
2023,Chevrolet,Traverse,NEW,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",Summit White,Jet Black,AWD 4dr Premier,Automatic,1GNEVKKW0PJ311394,45728,21,,FALSE,17,25,https://content.homenetiol.com/2000466/2078700/640x480/c0f166113b8b47bdadddfaaab5351709.jpg,https://www.goschchevy.com/inventory/1GNEVKKW0PJ311394/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Radiant Red Tintcoat,Jet Black,"4WD Crew Cab 157"" RST",Automatic,1GCUDEEL6RZ146059,75815,6,,FALSE,14,20,https://content.homenetiol.com/2000466/2078700/640x480/d53e7be829fe4918bcf43fb4aecf39c7.jpg,https://www.goschchevy.com/inventory/1GCUDEEL6RZ146059/
2023,Chevrolet,Traverse,NEW,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",Summit White,Jet Black,AWD 4dr Premier,Automatic,1GNEVKKW5PJ320625,45728,5,,FALSE,17,25,https://content.homenetiol.com/2000466/2078700/640x480/c9c79ee452c2499cb2ae73f044f58af7.jpg,https://www.goschchevy.com/inventory/1GNEVKKW5PJ320625/
2023,Chevrolet,Traverse,NEW,"Traverse tames family chaos with its cavernous comfort, powerful towing muscle, and tech-fueled safety, all wrapped in a rugged, adventure-ready SUV. ????",Summit White,Jet Black,AWD 4dr Premier,Automatic,1GNEVKKW6PJ311545,45728,4,,FALSE,17,25,https://content.homenetiol.com/2000466/2078700/640x480/e3b10be7dcee4545b92148269612ea76.jpg,https://www.goschchevy.com/inventory/1GNEVKKW6PJ311545/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED8RG107931,57495,13,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/99aa0431cc7b4a378d1418e832c8fc9c.jpg,https://www.goschchevy.com/inventory/3GCPACED8RG107931/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Black,Jet Black,"4WD Crew Cab 147"" Custom Trail Boss",Automatic,3GCUDCED5RG115379,66070,9,,FALSE,16,20,https://content.homenetiol.com/2000466/2078700/640x480/a7f64fd6b07540218e1c7d5baa8fe048.jpg,https://www.goschchevy.com/inventory/3GCUDCED5RG115379/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED7RG103742,57345,9,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/04554e3a10614b28953c0830a94a4107.jpg,https://www.goschchevy.com/inventory/3GCPACED7RG103742/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACEDXRG103749,57345,12,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/9a27a9099c43433c82b6625276f4838f.jpg,https://www.goschchevy.com/inventory/3GCPACEDXRG103749/
2024,Chevrolet,Equinox,NEW,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",Summit White,Medium Ash Gray,FWD 4dr LS w/1LS,Automatic,3GNAXHEG4RL138703,28220,8,,FALSE,26,31,https://content.homenetiol.com/2000466/2078700/640x480/1eb2710961314ba68f0754618bdf7fc5.jpg,https://www.goschchevy.com/inventory/3GNAXHEG4RL138703/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Black,Jet Black,"4WD Crew Cab 147"" High Country",Automatic,2GCUDJED6R1130826,77090,63,,FALSE,16,20,https://content.homenetiol.com/2000466/2078700/640x480/f877a08c7b114ee1ab06187884c6c097.jpg,https://www.goschchevy.com/inventory/2GCUDJED6R1130826/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Sterling Gray Metallic,Jet Black,"2WD Crew Cab 157"" LT",Automatic,1GCPACED1RZ148174,56380,4,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/a977e16cc81c45adbd2021de16098e5f.jpg,https://www.goschchevy.com/inventory/1GCPACED1RZ148174/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED0RG107955,55540,6,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/c1ff0798020341528c69d6203488de75.jpg,https://www.goschchevy.com/inventory/3GCPACED0RG107955/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED1RG108158,55540,12,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/43592aced67f41a6bdd0f2294079f100.jpg,https://www.goschchevy.com/inventory/3GCPACED1RG108158/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED3RG108176,55540,12,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/f4ca00530bfd4504b0d97766963614b0.jpg,https://www.goschchevy.com/inventory/3GCPACED3RG108176/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED9RG107937,55540,10,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/6431f0113f08406c985e1ac899ec5f6e.jpg,https://www.goschchevy.com/inventory/3GCPACED9RG107937/
2024,Chevrolet,Equinox,NEW,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",Mosaic Black Metallic,Medium Ash Gray,FWD 4dr LS w/1LS,Automatic,3GNAXHEG4RL159521,29030,10,,FALSE,26,31,https://content.homenetiol.com/2000466/2078700/640x480/7543afbc654e424f974dd5ab34937134.jpg,https://www.goschchevy.com/inventory/3GNAXHEG4RL159521/
2024,Chevrolet,Equinox,NEW,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",Mosaic Black Metallic,Medium Ash Gray,FWD 4dr LS w/1LS,Automatic,3GNAXHEG8RL155553,29030,10,,FALSE,26,31,https://content.homenetiol.com/2000466/2078700/640x480/b2ecb7250650458a8172d1d477b2b327.jpg,https://www.goschchevy.com/inventory/3GNAXHEG8RL155553/
2024,Chevrolet,Equinox,NEW,"Stylishly spacious SUV, zips through commutes, fuels weekend escapes, versatile enough for family adventures, hints of sporty fun when unleashed.",Mosaic Black Metallic,Medium Ash Gray,FWD 4dr LS w/1LS,Automatic,3GNAXHEG8RL159537,29030,9,,FALSE,26,31,https://content.homenetiol.com/2000466/2078700/640x480/48fad69f2d7f41dc9a1084087197030e.jpg,https://www.goschchevy.com/inventory/3GNAXHEG8RL159537/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED5RG104050,65340,8,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/abbe5413b75c4e77972695c5eef3cf67.jpg,https://www.goschchevy.com/inventory/3GCPACED5RG104050/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED6RG104039,57345,10,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/eb39326c46d54f179a20474c2cd4a26f.jpg,https://www.goschchevy.com/inventory/3GCPACED6RG104039/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACEDXRG104044,57345,8,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/33201b8ec58b45819b267790f0aed4a0.jpg,https://www.goschchevy.com/inventory/3GCPACEDXRG104044/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Crew Cab 157"" LT",Automatic,3GCPACED5RG108163,55540,11,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/acbb3307bc8140b3b5e44397a36bf89b.jpg,https://www.goschchevy.com/inventory/3GCPACED5RG108163/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"2WD Double Cab 147"" Custom",Automatic,1GCRABEK9RZ166052,45495,2,,FALSE,19,22,https://content.homenetiol.com/2000466/2078700/640x480/18365716a6d34cdea7a73a35d9da1acc.jpg,https://www.goschchevy.com/inventory/1GCRABEK9RZ166052/
2024,Chevrolet,Camaro,NEW,"Untamed American muscle, roars through corners with heart-pounding thrills, a head-turning silhouette that screams pure driving exhilaration.",Vivid Orange Metallic,Jet Black,2dr Conv 3LT,Manual,1G1FD3DS8R0106066,46485,2,,FALSE,18,29,https://content.homenetiol.com/2000466/2078700/640x480/2c7249ce98a748babeab517ff0e72e94.jpg,https://www.goschchevy.com/inventory/1G1FD3DS8R0106066/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Sterling Gray Metallic,Jet Black,"2WD Crew Cab 157"" LT",Automatic,1GCPACED0RZ148117,56380,2,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/757b9696449e4ecaac0a164cdc424237.jpg,https://www.goschchevy.com/inventory/1GCPACED0RZ148117/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Sterling Gray Metallic,Jet Black,"2WD Crew Cab 157"" LT",Automatic,1GCPACED5RZ148291,56380,2,,FALSE,17,21,https://content.homenetiol.com/2000466/2078700/640x480/ecc835e74d074bf58687141f1e1d9874.jpg,https://www.goschchevy.com/inventory/1GCPACED5RZ148291/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"4WD Double Cab 147"" Custom",Automatic,1GCRDBEK4RZ151918,48795,2,,FALSE,18,21,https://content.homenetiol.com/2000466/2078700/640x480/b9f52b74d6ad4b78a7b83cce56c6438e.jpg,https://www.goschchevy.com/inventory/1GCRDBEK4RZ151918/
2024,Chevrolet,Silverado 1500,NEW,"Chevrolet Silverado is a great truck that is known for its durability, power, capability, and comfort. It is a popular choice for both work and recreation, and it is a great option for those who are looking for a truck that can handle anything they throw at it.",Summit White,Jet Black,"4WD Double Cab 147"" Custom",Automatic,1GCRDBEK8RZ162727,56790,2,,FALSE,18,21,https://content.homenetiol.com/2000466/2078700/640x480/cc333a18a6d64d42bd525939705891ec.jpg,https://www.goschchevy.com/inventory/1GCRDBEK8RZ162727/
